"","FIPS","Admin2","Province_State","Country_Region","Last_Update","Lat","Long_","Confirmed","Deaths","Recovered","Active","Combined_Key","Incident_Rate","Case_Fatality_Ratio"
"1",NA,"","","Afghanistan","2021-01-15 05:22:24",33.93911,67.709953,53775,2314,45298,5985,"Afghanistan",137.647787250939,4.30311483031148
"2",NA,"","","Albania","2021-01-15 05:22:24",41.1533,20.1683,65994,1261,39246,25487,"Albania",2293.21009104177,1.91077976785768
"3",NA,"","","Algeria","2021-01-15 05:22:24",28.0339,1.6596,103127,2822,69992,30313,"Algeria",235.175706082977,2.73643177829278
"4",NA,"","","Andorra","2021-01-15 05:22:24",42.5063,1.5218,8868,88,8091,689,"Andorra",11477.3830324209,0.99233198015336
"5",NA,"","","Angola","2021-01-15 05:22:24",-11.2027,17.8739,18613,425,16008,2180,"Angola",56.6325327840691,2.28335034653199
"6",NA,"","","Antigua and Barbuda","2021-01-15 05:22:24",17.0608,-61.7964,184,6,156,22,"Antigua and Barbuda",187.893145984805,3.26086956521739
"7",NA,"","","Argentina","2021-01-15 05:22:24",-38.4161,-63.6167,1770715,45125,1549490,176100,"Argentina",3917.87710608449,2.54840558757338
"8",NA,"","","Armenia","2021-01-15 05:22:24",40.0691,45.0382,163576,2963,151849,8764,"Armenia",5520.18504107337,1.81139042402308
"9",NA,"","Australian Capital Territory","Australia","2021-01-15 05:22:24",-35.4735,149.0124,118,3,115,0,"Australian Capital Territory, Australia",27.5636533520206,2.54237288135593
"10",NA,"","New South Wales","Australia","2021-01-15 05:22:24",-33.8688,151.2093,5045,54,3227,1764,"New South Wales, Australia",62.1458487312146,1.07036669970268
"11",NA,"","Northern Territory","Australia","2021-01-15 05:22:24",-12.4634,130.8456,93,0,74,19,"Northern Territory, Australia",37.8664495114006,0
"12",NA,"","Queensland","Australia","2021-01-15 05:22:24",-27.4698,153.0251,1290,6,1247,37,"Queensland, Australia",25.2174762975271,0.465116279069767
"13",NA,"","South Australia","Australia","2021-01-15 05:22:24",-34.9285,138.6007,591,4,577,10,"South Australia, Australia",33.6464560204953,0.676818950930626
"14",NA,"","Tasmania","Australia","2021-01-15 05:22:24",-42.8821,147.3272,234,13,221,0,"Tasmania, Australia",43.6974789915966,5.55555555555556
"15",NA,"","Victoria","Australia","2021-01-15 05:22:24",-37.8136,144.9631,20414,820,19566,28,"Victoria, Australia",307.908113244544,4.01685118056236
"16",NA,"","Western Australia","Australia","2021-01-15 05:22:24",-31.9505,115.8605,884,9,857,18,"Western Australia, Australia",33.6045008743253,1.01809954751131
"17",NA,"","","Austria","2021-01-15 05:22:24",47.5162,14.5501,389260,6921,362931,19408,"Austria",4322.03766210695,1.7779890047783
"18",NA,"","","Azerbaijan","2021-01-15 05:22:24",40.1431,47.5769,226200,2971,213279,9950,"Azerbaijan",2230.95074303383,1.31343943412909
"19",NA,"","","Bahamas","2021-01-15 05:22:24",25.025885,-78.035889,8011,175,6351,1485,"Bahamas",2037.13687037188,2.18449631756335
"20",NA,"","","Bahrain","2021-01-15 05:22:24",26.0275,50.55,96812,356,93329,3127,"Bahrain",5689.52557706559,0.367723009544271
"21",NA,"","","Bangladesh","2021-01-15 05:22:24",23.685,90.3563,525723,7849,470405,47469,"Bangladesh",319.220942129585,1.49299155638996
"22",NA,"","","Barbados","2021-01-15 05:22:24",13.1939,-59.5432,1036,7,493,536,"Barbados",360.509585170389,0.675675675675676
"23",NA,"","","Belarus","2021-01-15 05:22:24",53.7098,27.9534,219663,1554,202446,15663,"Belarus",2324.64322039647,0.707447317026536
"24",NA,"","Antwerp","Belgium","2021-01-15 05:22:24",51.2195,4.4024,83236,0,0,83236,"Antwerp, Belgium",4479.90458485694,0
"25",NA,"","Brussels","Belgium","2021-01-15 05:22:24",50.8503,4.3517,84582,0,0,84582,"Brussels, Belgium",6998.6810553543,0
